Date and time,actual,predicted,index,lower_bound,upper_bound
2022-01-16 00:00:00,5.695472222222222,6.248213503180043,2022-01-16 00:00:00,4.326290146048221,8.170136860311866
2022-01-16 01:00:00,5.492555555555555,6.071894594984875,2022-01-16 01:00:00,4.1499712378530536,7.9938179521166965
2022-01-16 02:00:00,5.484500000000001,5.6813689364999815,2022-01-16 02:00:00,3.7594455793681596,7.603292293631803
2022-01-16 03:00:00,6.655083333333334,4.935236574968526,2022-01-16 03:00:00,3.013313217836704,6.857159932100348
2022-01-16 04:00:00,6.157138888888889,5.912572162048554,2022-01-16 04:00:00,3.990648804916732,7.834495519180376
2022-01-16 05:00:00,5.59425,5.779212617657585,2022-01-16 05:00:00,3.857289260525763,7.701135974789407
2022-01-16 06:00:00,6.9846666666666675,5.54125076143682,2022-01-16 06:00:00,3.619327404304998,7.4631741185686415
2022-01-16 07:00:00,6.148361111111111,7.053770306125247,2022-01-16 07:00:00,5.1318469489934255,8.975693663257069
2022-01-16 08:00:00,6.965555555555554,4.814935597870535,2022-01-16 08:00:00,2.8930122407387127,6.736858955002356
2022-01-16 09:00:00,6.040305555555555,5.179980627861951,2022-01-16 09:00:00,3.2580572707301294,7.101903984993774
2022-01-16 10:00:00,3.182833333333334,4.088617267906071,2022-01-16 10:00:00,2.166693910774249,6.010540625037892
2022-01-16 11:00:00,3.204777777777778,3.47602597686314,2022-01-16 11:00:00,1.5541026197313181,5.397949333994962
2022-01-16 12:00:00,2.7042222222222225,3.4739303384062823,2022-01-16 12:00:00,1.5520069812744604,5.395853695538104
2022-01-16 13:00:00,2.7313333333333336,2.7368054697775532,2022-01-16 13:00:00,0.8148821126457313,4.658728826909375
2022-01-16 14:00:00,2.9171111111111108,2.5495970177012244,2022-01-16 14:00:00,0.6276736605694024,4.471520374833046
2022-01-16 15:00:00,3.146277777777778,2.5472793368764695,2022-01-16 15:00:00,0.6253559797446475,4.469202694008292
2022-01-16 16:00:00,3.216361111111111,3.073912338109821,2022-01-16 16:00:00,1.151988980977999,4.995835695241643
2022-01-16 17:00:00,3.7320277777777777,3.4638120820100107,2022-01-16 17:00:00,1.5418887248781887,5.385735439141833
2022-01-16 18:00:00,3.950277777777778,4.077329014668499,2022-01-16 18:00:00,2.155405657536677,5.999252371800321
2022-01-16 19:00:00,4.594583333333333,4.171909123100463,2022-01-16 19:00:00,2.2499857659686406,6.093832480232285
2022-01-16 20:00:00,6.003166666666667,4.972542510312189,2022-01-16 20:00:00,3.050619153180367,6.89446586744401
2022-01-16 21:00:00,5.680694444444445,5.776787080930076,2022-01-16 21:00:00,3.8548637237982537,7.698710438061898
2022-01-16 22:00:00,6.720166666666666,6.262452145812534,2022-01-16 22:00:00,4.340528788680713,8.184375502944356
2022-01-16 23:00:00,5.942361111111112,6.880072003893819,2022-01-16 23:00:00,4.958148646761996,8.801995361025641
2022-01-17 00:00:00,6.326722222222221,6.901699796769897,2022-01-17 00:00:00,4.979776439638075,8.82362315390172
2022-01-17 01:00:00,6.452111111111112,7.032007020076517,2022-01-17 01:00:00,5.110083662944694,8.953930377208339
2022-01-17 02:00:00,5.197972222222222,6.163732729681015,2022-01-17 02:00:00,4.241809372549193,8.085656086812836
2022-01-17 03:00:00,5.7217777777777785,7.246058097418526,2022-01-17 03:00:00,5.324134740286704,9.167981454550349
2022-01-17 04:00:00,5.61575,7.378654599442512,2022-01-17 04:00:00,5.45673124231069,9.300577956574333
2022-01-17 05:00:00,5.485138888888889,7.56105343265704,2022-01-17 05:00:00,5.639130075525218,9.482976789788863
2022-01-17 06:00:00,9.117111111111111,8.776402831368733,2022-01-17 06:00:00,6.854479474236911,10.698326188500555
2022-01-17 07:00:00,17.593749999999996,16.255096420517912,2022-01-17 07:00:00,14.33317306338609,18.177019777649733
2022-01-17 08:00:00,14.800305555555555,13.604069582027464,2022-01-17 08:00:00,11.682146224895641,15.525992939159286
2022-01-17 09:00:00,12.691944444444442,12.550389917514309,2022-01-17 09:00:00,10.628466560382487,14.472313274646131
2022-01-17 10:00:00,9.034027777777778,10.006871630435318,2022-01-17 10:00:00,8.084948273303496,11.92879498756714
2022-01-17 11:00:00,9.216833333333332,9.888323414318794,2022-01-17 11:00:00,7.966400057186972,11.810246771450617
2022-01-17 12:00:00,8.797416666666667,9.066359607627678,2022-01-17 12:00:00,7.144436250495856,10.9882829647595
2022-01-17 13:00:00,8.59311111111111,7.658640996909208,2022-01-17 13:00:00,5.736717639777385,9.58056435404103
2022-01-17 14:00:00,8.49386111111111,7.81667334042457,2022-01-17 14:00:00,5.894749983292748,9.738596697556392
2022-01-17 15:00:00,7.588194444444446,7.84750656394038,2022-01-17 15:00:00,5.925583206808557,9.769429921072202
2022-01-17 16:00:00,7.763638888888888,8.282740369088945,2022-01-17 16:00:00,6.360817011957122,10.204663726220767
2022-01-17 17:00:00,2.3615555555555567,3.8811499557717166,2022-01-17 17:00:00,1.9592265986398947,5.803073312903539
2022-01-17 18:00:00,0.59775,0.0,2022-01-17 18:00:00,-2.389279365162157,1.4545673491014868
2022-01-17 19:00:00,1.7523611111111108,2.6339109895741593,2022-01-17 19:00:00,0.7119876324423373,4.555834346705981
2022-01-17 20:00:00,2.574583333333334,2.819368729928166,2022-01-17 20:00:00,0.8974453727963438,4.741292087059987
2022-01-17 21:00:00,3.130027777777778,3.513076052898832,2022-01-17 21:00:00,1.59115269576701,5.434999410030654
2022-01-17 22:00:00,3.119305555555555,4.181902332051543,2022-01-17 22:00:00,2.2599789749197208,6.103825689183365
