Date and time,Internal temperature area 1 (Celsius degree),Internal temperature area 2 (Celsius degree),Internal temperature area 3 (Celsius degree),Internal temperature area 4 (Celsius degree),External temperature (Celsius degree),HVAC power (kW),Global power (kW)
2022-04-01 00:00:00,21.033333333333335,17.85,16.816666666666666,17.342857142857145,10.79,0.1206666666666665,0.6688888888888889
2022-04-01 00:15:00,21.175,17.73333333333333,16.985714285714284,17.425,10.79,2.0221111111111107,2.531555555555556
2022-04-01 00:30:00,21.142857142857142,18.1,17.03333333333333,17.625,10.96,0.1205555555555554,0.5864444444444445
2022-04-01 00:45:00,21.23333333333333,17.860000000000003,16.962500000000002,17.257142857142856,10.73,2.0424444444444445,2.6355555555555545
2022-04-01 01:00:00,21.2125,18.1,17.2,17.7,10.555,0.1199999999999999,0.6268888888888888
2022-04-01 01:15:00,21.02,18.014285714285712,17.0625,17.414285714285715,10.51,2.0856666666666666,2.5635555555555567
2022-04-01 01:30:00,21.0,17.928571428571427,16.8,17.383333333333336,10.46,0.1224444444444443,0.6013333333333333
2022-04-01 01:45:00,21.15,17.95,17.05714285714286,17.340000000000003,10.34,1.9937777777777772,2.6546666666666665
2022-04-01 02:00:00,21.0125,17.942857142857143,16.87142857142857,17.45,10.315,1.142666666666667,1.6288888888888888
2022-04-01 02:15:00,21.233333333333334,18.344444444444445,17.157142857142855,17.6875,10.29,1.0424444444444452,1.524111111111112
2022-04-01 02:30:00,20.96,17.9875,17.183333333333334,17.414285714285715,10.3,1.9837777777777776,2.5395555555555545
2022-04-01 02:45:00,20.957142857142856,17.875,16.8,17.400000000000002,10.05,0.1287777777777776,0.6541111111111111
2022-04-01 03:00:00,21.125,18.299999999999997,17.0375,17.540000000000003,9.98,2.062111111111111,2.4868888888888905
2022-04-01 03:15:00,20.737499999999997,17.755555555555556,16.82857142857143,17.24,9.9,1.9009999999999991,2.3493333333333335
2022-04-01 03:30:00,21.0125,18.233333333333334,16.97142857142857,17.542857142857144,9.75,1.3451111111111114,1.8817777777777775
2022-04-01 03:45:00,21.12222222222222,18.28888888888889,17.014285714285712,17.628571428571426,9.62,0.9876666666666672,1.4126666666666658
2022-04-01 04:00:00,21.0125,18.211111111111116,17.0375,17.45555555555556,9.38,2.262222222222221,2.7511111111111113
2022-04-01 04:15:00,20.728571428571428,17.8625,16.8,17.300000000000004,9.33,0.9715555555555556,1.4846666666666668
2022-04-01 04:30:00,21.01111111111111,18.200000000000003,16.9,17.571428571428573,9.2,1.2887777777777782,1.8033333333333337
2022-04-01 04:45:00,21.033333333333335,18.322222222222223,17.033333333333335,17.599999999999998,9.07,2.62822222222222,3.1183333333333367
2022-04-01 05:00:00,20.750000000000004,17.914285714285715,16.733333333333334,17.266666666666666,9.135,0.9715555555555556,1.4220000000000002
2022-04-01 05:15:00,21.025,18.1875,17.033333333333335,17.516666666666666,9.2,1.012333333333334,1.600999999999999
2022-04-01 05:30:00,20.9875,18.15,16.98888888888889,17.462500000000002,9.15,2.224666666666665,2.788444444444445
2022-04-01 05:45:00,22.244444444444444,19.637500000000003,18.311111111111114,18.9,8.98,6.927555555555554,7.376000000000003
2022-04-01 06:00:00,23.65,21.566666666666663,19.857142857142858,19.9,8.96,5.262,7.220111111111111
2022-04-01 06:15:00,23.783333333333335,21.98,20.085714285714285,20.04,8.9,4.607333333333334,7.493333333333333
2022-04-01 06:30:00,23.2125,21.225,19.322222222222223,19.8,8.83,4.301777777777777,7.086888888888887
2022-04-01 06:45:00,23.700000000000003,22.1,19.95,20.22,8.57,4.397777777777777,7.148222222222222
2022-04-01 07:00:00,23.187500000000004,21.455555555555556,19.322222222222223,19.922222222222224,8.46,4.134,6.9221111111111115
2022-04-01 07:15:00,23.485714285714288,21.52222222222222,19.5,19.9,8.35,5.122222222222222,8.050222222222223
2022-04-01 07:30:00,23.424999999999997,21.450000000000003,19.58888888888889,20.0,8.47,4.411444444444445,7.206777777777777
2022-04-01 07:45:00,23.11428571428571,21.728571428571428,19.3375,20.1,8.4,3.973888888888888,6.809222222222221
2022-04-01 08:00:00,23.46,22.199999999999996,19.842857142857145,20.014285714285712,8.65,4.333000000000001,7.212888888888891
2022-04-01 08:15:00,23.1125,21.7,19.557142857142857,19.9125,8.73,4.390111111111114,7.222555555555557
2022-04-01 08:30:00,23.2125,21.7,19.362499999999997,19.928571428571427,8.675,4.250777777777779,7.074444444444447
2022-04-01 08:45:00,23.5,21.600000000000005,19.37777777777778,20.1,8.76,4.865333333333332,7.6598888888888865
2022-04-01 09:00:00,23.5,21.64444444444445,19.466666666666665,19.9,8.775,4.136000000000001,7.069666666666667
2022-04-01 09:15:00,23.533333333333328,21.733333333333334,19.5875,20.0625,8.93,4.461000000000001,7.297999999999999
2022-04-01 09:30:00,23.9,22.4125,19.94,20.380000000000003,8.93,5.6819999999999995,8.518444444444444
2022-04-01 09:45:00,23.571428571428573,22.16666666666667,19.4375,19.999999999999996,9.15,4.538333333333336,7.373555555555557
2022-04-01 10:00:00,23.6875,21.88888888888889,19.466666666666665,19.971428571428568,9.28,4.214777777777778,7.076666666666669
2022-04-01 10:15:00,24.0,22.4625,19.88571428571429,20.360000000000003,9.45,5.338222222222221,6.9848888888888885
2022-04-01 10:30:00,23.7,21.87777777777778,19.522222222222226,19.97142857142857,9.6,3.031888888888888,3.497777777777779
2022-04-01 10:45:00,23.75,21.975,19.5625,19.85,9.7,3.5876666666666663,4.881555555555557
2022-04-01 11:00:00,23.822222222222223,21.85,19.7125,19.985714285714288,9.68,3.965111111111112,5.190555555555555
