Date and time,actual_reporting,predicted_reporting,Indoor_temp_2_measured,Indoor_temp_2_predicted,hour,dayofweek,year
2024-11-02 00:00:00,1.3153333333333335,1.4714910492928768,17.971329365079367,17.821288237332507,0,5,2024
2024-11-02 01:00:00,1.3429999999999995,0.9936529985661489,18.10590277777778,17.789483852403173,1,5,2024
2024-11-02 02:00:00,1.6383888888888887,1.5749332410828805,18.103125,17.77106068605173,2,5,2024
2024-11-02 03:00:00,1.940861111111111,1.7840141481069898,18.158333333333335,17.740981198706173,3,5,2024
2024-11-02 04:00:00,1.3677499999999996,1.0902697080970105,18.193055555555553,17.665615325688698,4,5,2024
2024-11-02 05:00:00,1.6203888888888889,1.1200864986014354,18.08993055555556,17.77970644475214,5,5,2024
2024-11-02 06:00:00,1.6882222222222216,1.5060884842593394,18.17569444444445,18.017379982152665,6,5,2024
2024-11-02 07:00:00,1.8016111111111108,1.895869207371656,18.198611111111113,18.35590358520185,7,5,2024
2024-11-02 08:00:00,1.8344166666666668,1.6104221221246222,18.198958333333337,18.705601699429312,8,5,2024
2024-11-02 09:00:00,1.1258055555555546,1.0566325433358505,17.962549603174605,18.778092649425975,9,5,2024
2024-11-02 10:00:00,0.6164722222222222,0.6273869155645206,17.83222222222222,18.956783867126973,10,5,2024
2024-11-02 11:00:00,0.8560555555555557,0.7335336246866122,17.734722222222224,19.38905826166682,11,5,2024
2024-11-02 12:00:00,0.5569722222222221,0.5150006306186947,17.72083333333333,19.45508973172665,12,5,2024
2024-11-02 13:00:00,0.8944722222222221,0.4350407155212048,17.81076388888889,19.47230115760613,13,5,2024
2024-11-02 14:00:00,0.11655555555555533,0.04775869049648662,16.90416666666667,19.096747818139583,14,5,2024
2024-11-02 15:00:00,0.5021388888888887,0.2831808637206299,17.226041666666667,18.91723435084104,15,5,2024
2024-11-02 16:00:00,0.9303055555555554,0.8693158980605515,17.58407738095238,18.792709170947795,16,5,2024
2024-11-02 17:00:00,1.01475,0.9713847984942392,17.896428571428572,18.618383363531144,17,5,2024
2024-11-02 18:00:00,1.0747499999999999,1.1269354294050542,17.89419642857143,18.35252620546557,18,5,2024
2024-11-02 19:00:00,1.5928611111111108,1.186745628631539,17.980208333333334,18.168655382573665,19,5,2024
2024-11-02 20:00:00,1.1418888888888887,1.2300561073295837,18.08675595238095,18.037444318240897,20,5,2024
2024-11-02 21:00:00,1.52225,1.310456642831034,18.112400793650792,18.12854369491144,21,5,2024
2024-11-02 22:00:00,1.157333333333333,1.3365074732692426,18.113492063492064,18.136917761975884,22,5,2024
2024-11-02 23:00:00,1.5619444444444444,1.378818619748352,18.161458333333336,18.129256319094875,23,5,2024
2024-11-03 00:00:00,1.61525,1.1907075471635862,18.225,18.044944326487407,0,6,2024
2024-11-03 01:00:00,1.9581388888888887,1.3541079319241378,18.26944444444445,18.14236882687081,1,6,2024
2024-11-03 02:00:00,1.5539166666666668,1.3584897635380218,18.328472222222224,18.090090273912796,2,6,2024
2024-11-03 03:00:00,2.335527777777778,2.022313451147231,18.19910714285714,18.089895648528415,3,6,2024
2024-11-03 04:00:00,1.7449444444444444,1.6106702184682158,18.18611111111111,17.884504398138752,4,6,2024
2024-11-03 05:00:00,1.7992499999999998,1.5241026517104865,18.279166666666665,17.777877475091447,5,6,2024
2024-11-03 06:00:00,2.1904166666666662,1.99533087287658,18.378571428571423,17.997683843053725,6,6,2024
2024-11-03 07:00:00,2.1069722222222227,2.2621473394652076,18.353125,18.29391451408428,7,6,2024
2024-11-03 08:00:00,1.796972222222222,2.0008315545207607,18.182291666666668,18.47319055274398,8,6,2024
2024-11-03 09:00:00,1.507277777777778,1.676680022606111,18.186507936507937,18.53855085006476,9,6,2024
2024-11-03 10:00:00,0.9797222222222223,1.4432966988482194,18.00357142857143,18.61145942108853,10,6,2024
2024-11-03 11:00:00,0.8497222222222223,1.169031274496052,17.91845238095238,18.832260858931143,11,6,2024
2024-11-03 12:00:00,0.9576666666666666,1.0433946867924186,17.932738095238097,18.99436657628945,12,6,2024
2024-11-03 13:00:00,0.6654166666666665,0.7567140631001275,17.850714285714286,18.956048024929075,13,6,2024
2024-11-03 14:00:00,0.9780555555555552,0.612455195196044,17.53735119047619,18.814009037252077,14,6,2024
2024-11-03 15:00:00,0.5707222222222221,0.7061459174041973,17.515,18.57642640762833,15,6,2024
2024-11-03 16:00:00,1.0547499999999996,1.1448986040204856,17.96547619047619,18.408056477416466,16,6,2024
2024-11-03 17:00:00,1.4653333333333332,1.3257875944762558,18.18392857142857,18.242273466559848,17,6,2024
2024-11-03 18:00:00,1.550083333333333,1.631712881335047,18.02743055555555,18.09189470318492,18,6,2024
2024-11-03 19:00:00,1.3250833333333332,1.7538033272854294,18.103125,17.816296285312447,19,6,2024
2024-11-03 20:00:00,1.6418611111111112,1.6701497465896518,18.21309523809524,17.70516353356045,20,6,2024
2024-11-03 21:00:00,1.8220555555555553,1.956360079904102,18.24375,17.90169236216465,21,6,2024
2024-11-03 22:00:00,1.821638888888889,1.9138529757893918,18.319444444444446,17.960963671108644,22,6,2024
2024-11-03 23:00:00,1.7579722222222223,1.9546045821080709,18.309375,17.939640903127117,23,6,2024
2024-11-04 00:00:00,1.7431666666666665,3.106146957401285,18.272569444444443,18.384676994423895,0,0,2024
2024-11-04 01:00:00,1.882611111111111,3.1613329697754002,18.302777777777777,18.342429442455742,1,0,2024
2024-11-04 02:00:00,2.0921666666666665,3.1516174101987007,18.370833333333337,18.312146394855564,2,0,2024
